index,time,value
0,1656665958060,0.0
1,1656665960407,0.0
2,1656665961402,0.0
3,1656665962404,0.0
4,1656665962535,0.0
5,1656665969812,0.0
6,1656665969816,0.0
7,1656665970816,0.0
8,1656665970820,0.0
9,1656665971002,0.0
10,1656665971004,0.0
11,1656665971816,0.0
12,1656665971820,0.0
13,1656665972803,0.0
14,1656665972806,0.0
15,1656665973805,0.0
16,1656665973809,0.0
17,1656665974102,0.0
18,1656665974105,0.0
19,1656665974804,0.0
20,1656665974809,0.0
21,1656665975807,0.0
22,1656665975808,0.0
23,1656665976805,0.0
24,1656665976809,0.0
25,1656665976987,0.0
26,1656665976990,0.0
27,1656665977685,0.0
28,1656665977685,0.0
29,1656665979877,0.0
30,1656665980856,0.0
31,1656665981857,0.0
32,1656665982843,0.0
33,1656665983835,0.0
34,1656665984004,0.0
35,1656665988522,0.0
36,1656665990762,0.0
37,1656665991755,0.0
38,1656665992003,0.0
39,1656665994721,0.0
40,1656665994728,0.0
41,1656666001115,0.0
42,1656666001119,0.0
43,1656666001374,0.0
44,1656666001377,0.0
45,1656666005438,0.0
46,1656666005438,0.0
47,1656666018676,0.0
48,1656666018677,0.0
49,1656666018677,0.0
50,1656666018677,0.0
51,1656666018677,0.0
52,1656666018677,64.0
53,1656666018677,66.0
54,1656666018677,67.0
55,1656666018677,67.0
56,1656666018677,67.0
57,1656666018678,67.0
58,1656666018678,67.0
59,1656666020610,68.0
60,1656666020611,67.0
61,1656666026130,67.0
62,1656666026130,66.0
63,1656666026130,67.0
64,1656666026130,68.0
65,1656666026136,67.0
66,1656666029707,68.0
67,1656666029707,68.0
68,1656666029708,68.0
69,1656666029726,0.0
70,1656666029729,0.0
71,1656666048770,0.0
72,1656666048775,0.0
73,1656666048952,0.0
74,1656666048956,0.0
75,1656666063834,0.0
76,1656666063836,0.0
77,1656666064020,0.0
78,1656666064021,0.0
79,1656666100812,0.0
80,1656666100814,0.0
81,1656666108687,0.0
82,1656666108689,0.0
83,1656666163048,0.0
84,1656666163055,0.0
85,1656666163334,0.0
86,1656666163337,0.0
87,1656666163804,0.0
88,1656666163804,0.0
89,1656666165913,0.0
90,1656666166908,0.0
91,1656666167914,0.0
92,1656666168866,0.0
93,1656666170435,0.0
94,1656666175932,0.0
95,1656666175932,0.0
96,1656666175933,0.0
97,1656666175933,0.0
98,1656666175950,0.0
99,1656666175952,0.0
100,1656666176141,0.0
101,1656666176144,0.0
102,1656666181128,0.0
103,1656666181143,0.0
104,1656666198684,0.0
105,1656666198694,0.0
106,1656666198859,0.0
107,1656666198862,0.0
108,1656666256142,0.0
109,1656666256147,0.0
110,1656666256311,0.0
111,1656666256314,0.0
112,1656666273657,0.0
113,1656666273660,0.0
114,1656666273844,0.0
115,1656666273847,0.0
116,1656666288698,0.0
117,1656666288704,0.0
118,1656666288930,0.0
119,1656666288934,0.0
120,1656666375147,0.0
121,1656666375186,0.0
122,1656666378705,0.0
123,1656666378708,0.0
124,1656666378888,0.0
125,1656666378889,0.0
126,1656666676160,0.0
127,1656666676162,0.0
128,1656666856122,0.0
129,1656666856130,0.0
130,1656666856307,0.0
131,1656666856310,0.0
132,1656666995893,0.0
133,1656666995894,0.0
134,1656667154113,0.0
135,1656667154117,0.0
136,1656667154433,0.0
137,1656667154435,0.0
138,1656667173764,0.0
139,1656667173772,0.0
140,1656667174056,0.0
141,1656667174059,0.0
142,1656667188801,0.0
143,1656667188805,0.0
144,1656667188991,0.0
145,1656667188992,0.0
146,1656667203567,0.0
147,1656667203569,0.0
148,1656667203859,0.0
149,1656667203861,0.0
150,1656667456110,0.0
151,1656667456113,0.0
152,1656667473579,0.0
153,1656667473587,0.0
154,1656667473762,0.0
155,1656667473765,0.0
156,1656667698118,0.0
157,1656667698128,0.0
158,1656667713811,0.0
159,1656667713820,0.0
160,1656667713996,0.0
161,1656667713999,0.0
162,1656667790113,0.0
163,1656667790118,0.0
164,1656667790517,0.0
165,1656667790521,0.0
166,1656667790778,0.0
167,1656667790782,0.0
168,1656667791817,0.0
169,1656667791822,0.0
170,1656667792805,0.0
171,1656667792808,0.0
172,1656667793806,0.0
173,1656667793808,0.0
174,1656667793995,0.0
175,1656667793997,0.0
176,1656667794818,0.0
177,1656667794821,0.0
178,1656667795005,0.0
179,1656667795006,0.0
180,1656667795821,0.0
181,1656667795823,0.0
182,1656667796001,0.0
183,1656667796002,0.0
184,1656667796816,0.0
185,1656667796820,0.0
186,1656667797804,0.0
187,1656667797808,0.0
188,1656667797976,0.0
189,1656667797981,0.0
190,1656667798818,0.0
191,1656667798822,0.0
192,1656667799111,0.0
193,1656667799115,0.0
194,1656667799806,0.0
195,1656667799807,0.0
196,1656667799986,0.0
197,1656667799989,0.0
198,1656667800469,0.0
199,1656667800474,0.0
200,1656667800816,0.0
201,1656667800817,0.0
202,1656667801630,0.0
203,1656667801637,0.0
204,1656667802804,0.0
205,1656667802808,0.0
206,1656667802988,0.0
207,1656667802990,0.0
208,1656667803819,0.0
209,1656667803821,0.0
210,1656667804005,0.0
211,1656667804007,0.0
212,1656667804818,0.0
213,1656667804822,0.0
214,1656667805805,0.0
215,1656667805809,0.0
216,1656667806804,0.0
217,1656667806807,0.0
218,1656667806989,0.0
219,1656667806990,0.0
220,1656667807817,0.0
221,1656667807820,0.0
222,1656667808442,0.0
223,1656667808446,0.0
224,1656667808813,0.0
225,1656667808815,0.0
226,1656667809805,0.0
227,1656667809809,0.0
228,1656667810810,0.0
229,1656667810816,0.0
230,1656667811805,0.0
231,1656667811807,0.0
232,1656667812804,0.0
233,1656667812808,0.0
234,1656667813804,0.0
235,1656667813808,0.0
236,1656667814074,0.0
237,1656667814076,0.0
238,1656667814817,0.0
239,1656667814822,0.0
240,1656667815805,0.0
241,1656667815809,0.0
242,1656667816803,0.0
243,1656667816806,0.0
244,1656667817803,0.0
245,1656667817806,0.0
246,1656667818803,0.0
247,1656667818807,0.0
248,1656667819142,0.0
249,1656667819144,0.0
250,1656667833634,0.0
